id,customer_id,date,value
1,1,2020-02-09,585.05
2,1,2020-11-07,2.49
3,1,2020-10-29,108.0
4,1,2020-05-30,243.5
5,1,2020-12-10,508.5
6,2,2020-07-13,92.49
7,2,2020-01-15,9.49
8,3,2020-11-23,279.49
9,3,2020-09-03,126.05
10,3,2020-05-08,154.49
11,3,2020-01-09,136.49
12,3,2020-07-24,52.0
13,3,2020-03-05,43.99
14,3,2020-05-07,136.5
15,4,2020-04-27,66.99
16,4,2020-01-13,10.0
17,4,2020-01-25,5.66
18,4,2020-01-15,50.49
19,4,2020-11-02,88.0
20,5,2020-12-05,465.94
21,5,2020-08-10,84.0
22,5,2020-07-27,190.5
23,5,2020-07-19,180.49
24,6,2020-07-12,90.47
25,6,2020-12-09,5.5
26,6,2020-06-11,13.49
27,6,2020-12-02,13.5
28,6,2020-04-11,200.0
29,6,2020-08-11,77.42
30,6,2020-08-27,280.46
31,7,2020-12-20,4.29
32,7,2020-08-26,6.49
33,7,2020-08-07,47.5
34,7,2020-06-13,80.5
35,7,2020-12-09,24.0
36,7,2020-10-05,10.49
37,7,2020-07-18,32.99
38,7,2020-09-02,14.99
39,8,2020-12-13,166.13
40,8,2020-07-06,217.7
41,8,2020-03-05,161.85
42,8,2020-02-18,371.5
43,8,2020-06-09,16.99
44,8,2020-04-27,196.0
45,8,2020-07-07,6.0
46,9,2020-07-11,28.99
47,10,2020-08-31,1.0
48,10,2020-12-20,15.0
49,10,2020-03-26,40.0
50,10,2020-10-25,0.86
51,10,2020-12-10,10.41
52,10,2020-03-04,72.0
53,10,2020-05-01,30.0
54,10,2020-12-21,62.5
55,10,2020-05-26,3.5
56,10,2020-04-25,9.07
57,10,2020-11-10,20.0
58,11,2020-05-05,227.5
59,11,2020-04-20,275.99
60,12,2020-07-10,96.24
61,12,2020-07-12,96.59
62,12,2020-12-02,37.49
63,12,2020-11-02,239.0
64,12,2020-08-29,77.33
65,13,2020-07-08,94.5
66,13,2020-10-23,139.99
67,13,2020-09-14,35.49
68,14,2020-01-17,16.5
69,15,2020-02-04,185.5
70,15,2020-11-19,47.0
71,15,2020-11-17,105.0
72,16,2020-05-08,51.99
73,16,2020-10-21,37.99
74,16,2020-10-31,311.91
75,16,2020-06-28,117.0
76,17,2020-12-07,74.0
77,17,2020-11-08,297.99
78,17,2020-11-20,18.5
79,17,2020-04-26,346.99
80,17,2020-07-06,69.5
81,18,2020-01-06,91.99
82,18,2020-01-30,87.49
83,18,2020-08-10,81.99
84,18,2020-05-09,49.5
85,18,2020-05-19,186.5
86,19,2020-09-30,51.99
87,19,2020-11-06,46.5
88,20,2020-08-08,119.95
89,20,2020-08-18,176.38
90,20,2020-02-20,236.22
91,20,2020-03-23,9.99
92,20,2020-07-28,13.99
93,20,2020-05-10,4.49
94,21,2020-05-19,45.0
95,21,2020-07-28,32.49
96,21,2020-05-18,96.99
97,21,2020-03-07,65.32
98,22,2020-02-18,300.23
99,22,2020-10-13,85.5
100,22,2020-02-07,58.99
101,22,2020-05-20,104.49
102,22,2020-02-06,233.0
103,24,2020-12-29,5.99
104,24,2020-09-29,1.49
105,24,2020-01-29,51.99
106,24,2020-08-24,4.99
107,24,2020-11-30,0.49
108,24,2020-12-11,57.5
109,24,2020-07-13,13.5
110,24,2020-06-27,15.5
111,25,2020-03-28,177.12
112,25,2020-07-17,89.5
113,25,2020-02-06,15.49
114,25,2020-03-12,32.49
115,25,2020-06-08,304.99
116,25,2020-10-20,315.25
117,26,2020-07-07,14.24
118,26,2020-07-12,37.2
119,26,2020-08-31,47.99
120,26,2020-01-25,150.0
121,27,2020-02-09,12.0
122,27,2020-10-05,7.0
123,27,2020-12-02,4.49
124,27,2020-03-22,108.99
125,27,2020-02-04,65.49
126,27,2020-12-08,8.5
127,27,2020-06-01,37.0
128,27,2020-09-16,34.0
129,28,2020-02-25,31.99
130,28,2020-06-25,89.5
131,28,2020-02-02,171.5
132,29,2020-10-02,37.49
133,29,2020-02-11,16.49
134,29,2020-09-23,38.38
135,31,2020-10-12,27.0
136,31,2020-09-05,28.0
137,31,2020-02-02,16.99
138,31,2020-11-20,189.0
139,31,2020-03-03,46.99
140,31,2020-08-11,29.49
141,32,2020-04-26,261.49
142,32,2020-08-30,127.0
143,33,2020-04-05,227.0
144,33,2020-09-08,670.1
145,33,2020-08-08,66.5
146,33,2020-08-25,222.49
147,34,2020-01-06,35.69
148,34,2020-05-07,53.99
149,34,2020-12-13,16.49
150,34,2020-11-10,42.0
151,34,2020-09-24,267.0
152,34,2020-09-12,74.27
153,34,2020-06-07,61.49
154,34,2020-12-04,240.99
155,34,2020-07-06,28.24
156,35,2020-01-25,36.0
157,35,2020-10-23,18.49
158,35,2020-11-26,17.99
159,35,2020-05-23,28.49
160,35,2020-12-10,47.99
161,36,2020-03-19,38.26
162,36,2020-12-02,184.5
163,36,2020-11-30,44.99
164,36,2020-12-03,36.0
165,36,2020-12-26,62.49
166,36,2020-10-07,12.5
167,36,2020-05-17,3.0
168,37,2020-06-11,37.0
169,37,2020-01-09,17.5
170,37,2020-02-17,386.5
171,37,2020-06-04,47.5
172,37,2020-09-14,24.99
173,37,2020-03-12,172.51
174,38,2020-09-05,40.0
175,38,2020-02-14,28.49
176,38,2020-04-08,1.99
177,38,2020-12-25,38.49
178,38,2020-05-25,66.0
179,39,2020-10-09,56.49
180,39,2020-04-05,2.5
181,39,2020-08-17,0.49
182,39,2020-09-19,15.5
183,39,2020-10-21,2.5
184,39,2020-10-23,38.99
185,39,2020-05-16,18.0
186,39,2020-11-23,37.5
187,39,2020-11-16,24.99
188,40,2020-09-19,18.5
189,40,2020-06-23,180.96
190,41,2020-07-07,36.68
191,41,2020-07-04,214.96
192,41,2020-01-29,95.49
193,42,2020-11-21,76.0
194,42,2020-03-12,17.5
195,42,2020-03-30,221.5
196,42,2020-09-13,25.49
197,42,2020-04-27,0.49
198,42,2020-06-07,13.0
199,43,2020-07-25,121.5
200,43,2020-02-15,30.0
201,43,2020-12-09,155.72
202,44,2020-06-24,68.31
203,44,2020-09-16,142.47
204,44,2020-10-15,25.71
205,44,2020-11-12,3.5
206,44,2020-02-20,124.99
207,44,2020-10-05,324.31
208,44,2020-05-16,40.5
209,44,2020-07-13,18.0
210,44,2020-11-19,2.0
211,45,2020-02-16,74.0
212,45,2020-11-03,125.0
213,45,2020-06-06,367.0
214,46,2020-05-22,180.36
215,46,2020-04-30,117.62
216,46,2020-07-30,3.99
217,46,2020-10-09,120.0
218,47,2020-05-26,38.24
219,47,2020-08-10,67.5
220,47,2020-10-26,102.33
221,47,2020-12-14,20.5
222,47,2020-05-16,12.5
223,47,2020-11-07,221.0
224,48,2020-08-25,36.0
225,48,2020-12-02,62.99
226,48,2020-03-04,131.14
227,48,2020-07-07,27.5
228,48,2020-12-14,82.99
229,50,2020-11-03,305.0
230,50,2020-12-23,91.99
231,50,2020-01-28,314.99
232,50,2020-08-01,177.0
233,50,2020-12-13,46.5
234,51,2020-01-20,7.99
235,51,2020-03-02,14.5
236,51,2020-08-14,112.0
237,52,2020-06-20,3.5
238,52,2020-01-11,130.78
239,52,2020-05-17,28.0
240,52,2020-08-18,78.46
241,52,2020-04-23,273.86
242,53,2020-04-28,11.99
243,53,2020-07-22,29.49
244,53,2020-04-19,20.5
245,53,2020-08-12,6.0
246,53,2020-04-14,11.0
247,53,2020-10-14,154.99
248,53,2020-02-09,22.99
249,53,2020-05-27,27.49
250,54,2020-11-09,278.84
251,54,2020-11-05,327.0
252,55,2020-04-02,18.99
253,55,2020-09-06,59.19
254,55,2020-08-25,105.5
255,55,2020-10-29,52.49
256,55,2020-08-02,13.5
257,55,2020-12-01,89.0
258,56,2020-09-22,289.91
259,56,2020-06-21,227.99
260,56,2020-02-21,63.5
261,56,2020-09-04,38.5
262,56,2020-09-27,25.5
263,56,2020-12-14,81.99
264,56,2020-09-28,4.5
265,57,2020-08-02,8.5
266,57,2020-09-10,66.0
267,57,2020-07-03,96.29
268,57,2020-06-24,6.34
269,57,2020-09-01,1.5
270,58,2020-04-14,85.49
271,58,2020-04-08,707.5
272,58,2020-04-20,289.49
273,59,2020-08-04,85.0
274,59,2020-12-22,76.64
275,59,2020-10-10,33.65
276,59,2020-03-25,117.99
277,59,2020-02-07,230.45
278,59,2020-12-21,30.0
279,59,2020-10-30,30.72
280,59,2020-07-09,38.72
281,59,2020-10-12,30.49
282,60,2020-07-07,391.0
283,60,2020-11-18,155.99
284,60,2020-07-25,11.5
285,60,2020-10-30,38.49
286,60,2020-07-04,346.0
287,61,2020-10-07,21.29
288,61,2020-06-21,64.5
289,61,2020-07-08,31.0
290,61,2020-07-06,16.0
291,61,2020-01-31,50.0
292,61,2020-09-22,29.49
293,61,2020-08-13,1.5
294,61,2020-04-27,23.26
295,62,2020-05-21,75.0
296,63,2020-02-25,29.5
297,63,2020-02-07,24.5
298,63,2020-06-25,2.99
299,63,2020-02-09,86.99
300,64,2020-10-24,451.99
301,64,2020-07-14,501.0
302,64,2020-08-03,139.0
303,64,2020-11-07,22.49
304,65,2020-04-04,182.99
305,66,2020-02-12,152.49
306,66,2020-03-25,173.99
307,66,2020-01-14,37.0
308,66,2020-07-16,101.5
309,66,2020-05-30,5.74
310,67,2020-06-19,0.97
311,67,2020-06-04,147.99
312,67,2020-09-04,20.5
313,68,2020-11-02,22.49
314,68,2020-01-11,51.49
315,68,2020-04-30,4.49
316,68,2020-11-12,13.49
317,69,2020-07-07,14.49
318,69,2020-05-08,107.5
319,69,2020-07-04,180.49
320,69,2020-11-19,22.0
321,69,2020-10-08,55.0
322,69,2020-12-30,20.99
323,70,2020-10-26,755.5
324,70,2020-09-29,204.99
325,70,2020-02-27,31.49
326,71,2020-10-19,118.0
327,71,2020-10-15,6.0
328,71,2020-10-05,59.99
329,71,2020-09-14,62.5
330,72,2020-08-15,12.49
331,72,2020-12-13,6.33
332,72,2020-11-06,3.0
333,72,2020-06-24,32.99
334,72,2020-12-10,13.49
335,72,2020-04-27,1.49
336,72,2020-01-27,68.28
337,73,2020-12-25,64.0
338,73,2020-11-26,68.0
339,73,2020-03-24,39.49
340,74,2020-08-08,376.5
341,74,2020-03-01,286.0
342,74,2020-03-19,257.52
343,75,2020-08-21,6.0
344,75,2020-05-14,122.99
345,75,2020-01-14,142.5
346,75,2020-11-19,391.99
347,76,2020-10-10,34.76
348,76,2020-04-23,61.0
349,76,2020-10-08,73.99
350,76,2020-06-28,216.99
351,76,2020-01-24,287.4
352,77,2020-12-11,234.99
353,77,2020-06-18,25.37
354,77,2020-08-13,19.49
355,77,2020-12-21,254.49
356,78,2020-11-22,11.0
357,78,2020-08-15,8.0
358,78,2020-11-12,50.5
359,78,2020-02-25,73.33
360,78,2020-03-16,25.37
361,78,2020-04-14,38.5
362,78,2020-09-02,0.49
363,78,2020-11-13,8.49
364,79,2020-02-01,1.99
365,79,2020-02-09,10.5
366,79,2020-05-04,3.31
367,79,2020-04-13,7.5
368,79,2020-11-13,51.0
369,79,2020-12-23,14.99
370,79,2020-02-12,28.49
371,79,2020-05-17,2.54
372,79,2020-06-24,30.73
373,80,2020-05-18,9.99
374,80,2020-12-07,46.0
375,80,2020-05-30,98.98
376,82,2020-10-06,147.0
377,82,2020-08-30,4.49
378,82,2020-10-08,12.49
379,82,2020-10-21,146.5
380,82,2020-03-18,34.5
381,82,2020-12-08,26.5
382,83,2020-08-22,8.5
383,83,2020-05-09,162.78
384,83,2020-03-28,50.5
385,83,2020-08-01,39.5
386,83,2020-08-28,21.49
387,83,2020-09-09,215.68
388,84,2020-05-15,30.31
389,84,2020-07-24,91.5
390,84,2020-11-13,81.99
391,84,2020-12-13,21.99
392,84,2020-06-15,146.84
393,84,2020-05-03,141.0
394,84,2020-03-28,8.5
395,84,2020-11-06,48.49
396,85,2020-08-12,19.0
397,85,2020-11-06,4.99
398,85,2020-12-29,3.99
399,85,2020-03-21,25.0
400,85,2020-09-08,23.49
401,86,2020-11-22,45.0
402,86,2020-11-02,20.0
403,86,2020-06-05,18.99
404,86,2020-09-11,12.0
405,86,2020-04-22,29.49
406,87,2020-02-06,207.0
407,87,2020-07-19,48.5
408,87,2020-10-30,75.16
409,87,2020-12-10,99.99
410,87,2020-12-28,14.49
411,87,2020-10-04,26.49
412,87,2020-12-30,20.0
413,88,2020-02-21,104.0
414,88,2020-09-26,14.99
415,88,2020-07-17,51.5
416,88,2020-02-15,14.29
417,88,2020-07-16,4.5
